"id_block" "species" "sample_size" "slope_temperature" "slope_rainfall" "abs_slope_temperature" "abs_slope_rainfall" "fam_sys_known50" "fam_sys_inferred50" "coop_num" "hand_wing_index" "migration" "mass" "logmass" "latitude" "abs_latitude"
"97" "10788_1" "Haliaeetus_albicilla" 16 -0.222306285338433 0.133335543177767 0.222306285338433 0.133335543177767 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 56.87972 56.87972
"98" "10795_1" "Haliaeetus_albicilla" 15 -0.00696021520233333 0.0611424360819233 0.00696021520233333 0.0611424360819233 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 52.43333 52.43333
"99" "10795_2" "Haliaeetus_albicilla" 22 -0.251925822404667 -0.0840753902426667 0.251925822404667 0.0840753902426667 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 52.43333 52.43333
"100" "10796_1" "Haliaeetus_albicilla" 14 0.0247450276985133 0.00677721249744067 0.0247450276985133 0.00677721249744067 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 51.92194 51.92194
"101" "10797_1" "Haliaeetus_albicilla" 35 0.0360044867461 0.0236197005186333 0.0360044867461 0.0236197005186333 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 51.6 51.6
"102" "10799_1" "Haliaeetus_albicilla" 11 -0.0567490713613333 0.00332136495374667 0.0567490713613333 0.00332136495374667 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 52.31389 52.31389
"103" "10800_1" "Haliaeetus_albicilla" 19 -0.128077356611 0.02342640253988 0.128077356611 0.02342640253988 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 52.78333 52.78333
"104" "10802_1" "Haliaeetus_albicilla" 9 0.0213757705858333 0.00988932565668667 0.0213757705858333 0.00988932565668667 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 53.6 53.6
"105" "10879_1" "Gyps_fulvus" 12 -0.0041130975174 -0.00410652824786333 0.0041130975174 0.00410652824786333 "no_fam" "1_no_fam" 1 39.2 1 7436 8.91408834884133 44.33556 44.33556
"106" "10896_1" "Merops_apiaster" 9 0.226264268764 0.174703393977 0.226264268764 0.174703393977 "coop_families" "3_coop_families" 3 45.5 3 56.6 4.03600898520914 50.55 50.55
